wavelength_nm,measured_norm,nist_synth_norm
233.48873900,1.59160360e-01,6.35400536e-02
233.50466900,1.23178087e-01,6.01204880e-02
233.52061500,1.04043006e-01,5.55804392e-02
233.53654500,8.27480281e-02,5.02125591e-02
233.55249000,9.75633170e-02,4.43208094e-02
233.56843600,1.31289698e-01,3.82243291e-02
233.58436600,1.34825528e-01,3.22174638e-02
233.60031100,1.27609875e-01,2.65288504e-02
233.61624100,1.23786058e-01,2.13491108e-02
233.63218700,1.15866438e-01,1.67838218e-02
233.64811700,1.01627122e-01,1.28961866e-02
233.66404700,1.10746684e-01,9.68258512e-03
233.67999300,1.31561685e-01,7.10134729e-03
233.69593800,1.54968562e-01,5.08907618e-03
233.71188400,1.70887797e-01,3.56342622e-03
233.72782900,1.45017039e-01,2.43807253e-03
233.74374400,1.03211046e-01,1.63119015e-03
233.75967400,9.15316065e-02,1.06601259e-03
233.77562000,8.31640081e-02,6.80422949e-04
233.79156500,8.19320673e-02,4.24373369e-04
233.80749500,8.45879398e-02,2.58740852e-04
