wavelength_nm,measured_norm,nist_synth_norm
233.26559400,4.54519478e-02,5.90285895e-01
233.28152500,5.82626917e-02,5.70691035e-01
233.29747000,6.20535289e-02,5.49416264e-01
233.31341600,6.39203734e-02,5.27070483e-01
233.32936100,5.99104677e-02,5.04226409e-01
233.34529100,4.54424231e-02,4.81424610e-01
233.36122100,3.91751595e-02,4.59098872e-01
233.37716700,3.62986951e-02,4.37614310e-01
233.39311200,3.55652919e-02,4.17316258e-01
233.40904200,4.42804077e-02,3.98484599e-01
233.42498800,5.98152205e-02,3.81301154e-01
233.44091800,6.11963044e-02,3.65982918e-01
233.45686300,6.10439089e-02,3.52653594e-01
233.47279400,4.99095152e-02,3.41463268e-01
233.48873900,4.44613773e-02,3.32485514e-01
233.50466900,3.62510715e-02,3.25787301e-01
233.52061500,3.33841318e-02,3.21351327e-01
233.53654500,2.78121726e-02,3.19112857e-01
233.55249000,3.18792266e-02,3.18912518e-01
233.56843600,4.69568530e-02,3.20510382e-01
233.58436600,6.79207544e-02,3.23571002e-01
233.60031100,7.28259834e-02,3.27688157e-01
233.61624100,5.42337365e-02,3.32378679e-01
233.63218700,3.56891132e-02,3.37136054e-01
233.64811700,3.61653491e-02,3.41426667e-01
233.66404700,5.44242309e-02,3.44756885e-01
233.67999300,6.44061339e-02,3.46689472e-01
233.69593800,4.86903515e-02,3.46873927e-01
233.71188400,2.76788266e-02,3.45084051e-01
233.72782900,2.00876274e-02,3.41233682e-01
233.74374400,1.67254024e-02,3.35398675e-01
233.75967400,2.71644919e-02,3.27776221e-01
233.77562000,2.85265263e-02,3.18708848e-01
233.79156500,2.70025717e-02,3.08668948e-01
233.80749500,3.41746833e-02,2.98218454e-01
